Location,PartNumber,FeederName,Type,Size,FeedPitch,Part Height,Status,Qty,Tray Dir
 1-  2,4.H-0701-43FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 1-  3,4.H-0701-27FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,10,--
 1-  4,4.H-0602-12FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1-  5,4.H-0701-121JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,20,--
 1-  6,4.H-0602-473M3C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1-  7,4.H-0502-122JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1-  8,4.H-0602-105M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1-  9,4.H-0602-220J6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1- 10,4.H-0502-000JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,0,--
 1- 11,4.H-0701-101JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 1- 12,4.H-0602-470J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1- 13,4.H-0502-153JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1- 14,4.H-0602-560J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1- 15,4.H-0602-27FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1- 16,4.H-0502-102JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1- 17,4.H-0502-152JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1- 18,4.H-0502-511JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1- 19,4.H-0602-104M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,35,--
 1- 20,4.H-0502-330JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2-  4,4.H-0602-104M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,23,--
 2-  5,4.H-0502-330JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,30,--
 2-  6,4.H-0502-120JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 2-  7,4.H-0602-101K6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,12,--
 2-  8,4.H-0602-100J6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2-  9,4.H-0502-103JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2- 10,4.H-0602-05FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2- 11,4.H-0701-27FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,20,--
 2- 12,4.H-0602-18FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 2- 13,4.H-0602-470J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 2- 14,4.H-0602-68FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 2- 15,4.H-0602-27FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 2- 16,4.H-0502-153JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 2- 17,4.H-0502-000JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,0,--
 2- 18,4.H-0701-101JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 3-  4,4.H-0602-102M8D-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,10,--
 3-  5,4.H-0602-18FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 3-  6,4.H-0602-68FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 3-  7,4.H-0602-030C6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 3-  8,4.H-0502-101JB0-B00,KT-0800F-180,Paper,8mm,2,0.35,Fixed,10,--
 3-  9,4.H-0602-470K8A-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,10,--
 3- 10,4.H-0602-225M2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,34,--
 3- 11,4.H-0602-105K2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,50,--
 3- 12,4.H-0504-100555-400,KT-0800F-180,Paper,8mm,2,0.35,Fixed,30,--
 3- 13,4.H-0502-150JB0-B00,KT-0800F-180,Paper,8mm,2,0.35,Fixed,0,--
 3- 14,4.H-0502-103JB0-B00,KT-0800F-180,Paper,8mm,2,0.35,Fixed,10,--
 3- 15,4.H-0602-101K6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 3- 16,4.H-1100-2FD4V2-000,KT-0800F-180,Emboss,8mm,2,0.25,Fixed,5,--
 4-  2,4.H-0502-511JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 4-  3,4.H-0602-560J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 4-  4,4.H-0502-102JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 4-  5,4.H-0502-122JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 4-  6,4.H-0701-91FJA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,10,--
 4-  7,4.H-0602-101K6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,13,--
 4-  8,4.H-0602-220J6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 4-  9,4.H-0602-473M3C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 4- 10,4.H-0701-121JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,30,--
 4- 11,4.H-0602-105K2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,62,--
 4- 12,4.H-0602-105M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,25,--
 4- 13,4.H-0602-030C6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 4- 14,4.H-0801-151820-000,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 4- 15,4.H-0602-104M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,12,--
 4- 16,4.H-0701-39FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,10,--
 4- 17,4.H-0502-152JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 4- 18,4.H-0701-100JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,10,--
 4- 19,4.H-0602-12FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 4- 20,4.H-0701-43FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 5-  4,4.H-1105-WS12P4-000,KT-0800F-180,Emboss,8mm,4,1.2,Fixed,5,--
 5-  5,4.H-1401-DLN02C-000,KT-0800F-180,Emboss,8mm,4,1,Fixed,5,--
 5-  6,4.H-1105-45D3HP-001,KT-0800F-180,Emboss,8mm,4,0.65,Fixed,5,--
 5-  7,4.H-0602-475M2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,5,--
 5-  8,4.H-0502-068TFE-DB0,KT-0800F-180,Paper,8mm,4,0.5,Fixed,10,--
 5-  9,4.H-0801-15750S-000,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 5- 10,4.H-0502-75FJB0-B00,KT-0800F-180,Paper,8mm,2,0.35,Fixed,50,--
 5- 11,4.H-1501-W1D14T-000,KT-0800F-180,Emboss,8mm,4,0.95,Fixed,60,--
 5- 12,4.H-0801-151820-000,KT-0800F-180,Paper,8mm,2,0.3,Fixed,25,--
 5- 13,4.H-0602-225M2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,16,--
 5- 14,4.H-0801-100510-201,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 5- 15,4.H-0602-106M2C-C00,KT-0800F-180,Paper,8mm,4,0.8,Fixed,10,--
 5- 16,4.H-2200-26M000-044,KT-0800F-180,Emboss,8mm,4,0.8,Fixed,5,--
 5- 17,4.H-1200-P006GS-000,KT-0800F-180,Emboss,8mm,4,1.2,Fixed,5,--
 6-  5,4.H-1200-P006GS-000,KT-0800F-180,Emboss,8mm,4,1.2,Fixed,5,--
 6-  6,4.H-2200-26M000-044,KT-0800F-180,Emboss,8mm,4,0.8,Fixed,5,--
 6-  7,4.H-1401-DLN02C-000,KT-0800F-180,Emboss,8mm,4,1,Fixed,5,--
 6-  8,4.H-0602-105K2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,8,--
 6-  9,4.H-0502-201JB0-B00,KT-0800F-180,Paper,8mm,2,0.35,Fixed,10,--
 6- 10,4.H-1201-8120GS-000,KT-0800F-180,Emboss,8mm,4,0.7,Fixed,10,--
 6- 11,4.H-0602-225M2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,30,--
 6- 12,4.H-1200-SC4617-001,KT-0800F-180,Emboss,8mm,4,0.7,Fixed,10,--
 6- 13,4.H-0602-106M2C-C00,KT-0800F-180,Paper,8mm,4,0.8,Fixed,10,--
 6- 14,4.H-0602-475M2C-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,5,--
 6- 15,4.H-1105-WS12P4-000,KT-0800F-180,Emboss,8mm,4,1.2,Fixed,5,--
 6- 16,4.H-1105-45D3HP-001,KT-0800F-180,Emboss,8mm,4,0.65,Fixed,5,--
 6- 17,4.H-1100-2FD4V2-000,KT-0800F-180,Emboss,8mm,2,0.25,Fixed,5,--
